Generation,Number,Name,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Colosseum,Gale Of Darkness,Diamond,Pearl,Platinum,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends Arceus,Scarlet,Violet
I,110,Weezing,C,C,C,T,E,E,C,E,E,C,E,E,T,T,C,C,C,C,C,DWE,DWE,C,C,T,T,E,E,T,T,T,T,T,C,RD,RD,C,C,—,CD,CD
I,110,Weezing (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,T,T
I,111,Rhyhorn,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,DW,C,R,R,C,C,C,C,S,S,S,S,C,C,C,C,C,C,C,—,—
I,112,Rhydon,C,C,C,C,R,R,C,E,E,E,E,E,T,S,C,C,C,C,C,DW,E,E,E,E,E,E,E,E,E,E,E,C,C,C,C,C,C,C,—,—
I,113,Chansey,C,C,C,C,C,C,C,Ev,Ev,C,C,Ev,T,S,C,C,C,C,C,DW,E,E,E,FS,FS,E,E,C,C,C,C,C,C,CD,CD,C,C,C,C,C
I,114,Tangela,C,C,C,C,C,C,C,T,T,C,C,T,T,S,Ev,Ev,C,C,C,C,C,C,C,FS,FS,C,C,T,T,T,T,C,C,CD,CD,C,C,C,—,—
I,115,Kangaskhan,C,C,R,C,C,C,C,Ev,Ev,C,C,Ev,T,S,S,S,S,C,C,C,C,DW,DW,C,C,Ev,Ev,C,C,C,C,C,C,CD,CD,S,S,—,—,—
I,116,Horsea,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,S,S,S,S,C,C,CD,CD,C,C,—,—,—
I,117,Seadra,C,C,C,C,C,C,C,E,E,C,E,E,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,E,E,E,E,C,C,CD,CD,C,C,—,—,—
I,118,Goldeen,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—,—,—
I,119,Seaking,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—,—,—
I,120,Staryu,C,C,C,C,C,C,C,C,C,Ev,C,C,T,T,C,C,C,C,C,C,C,C,C,C,T,C,C,C,C,C,C,C,C,CD,CD,C,C,—,—,—
I,121,Starmie,E,E,E,E,E,E,E,E,E,EvE,E,E,T,S,E,E,E,E,E,C,C,C,C,C,T,E,E,C,C,C,C,C,C,CD,CD,E,E,—,—,—
I,122,Mr. Mime,R,R,R,R,C,C,C,T,T,R,R,T,T,S,C,E,C,C,C,DW,DW,DW,S,C,C,T,T,T,T,C,C,C,C,R,R,C,C,C,—,—
I,122,Mr. Mime (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
I,123,Scyther,C,T,C,C,C,C,C,Ev,Ev,C,Ev,Ev,T,S,C,EvB,C,C,C,DW,DW,DW,DW,C,C,T,T,C,C,C,C,C,T,CD,CD,C,T,C,C,C
I,124,Jynx,R,R,C,T,C,C,C,T,T,R,R,T,T,T,E,E,C,C,C,C,C,DRE,DRE,C,C,T,T,T,T,C,C,C,C,CD,CD,E,E,—,—,—
I,125,Electabuzz,C,T,T,T,C,C,C,Ev,Ev,C,Ev,Ev,T,S,DE,DE,C,C,C,DWE,E,DWE,E,FS,FS,E,E,C,C,C,C,C,C,CD,CD,E,T,C,—,—
I,126,Magmar,T,C,T,T,C,C,C,Ev,Ev,Ev,C,Ev,T,S,DE,DE,C,C,C,DWE,E,E,DWE,FS,FS,E,E,C,C,C,C,C,C,CD,CD,T,E,C,—,—
I,127,Pinsir,T,C,C,C,C,C,C,C,C,T,C,C,T,S,T,C,S,C,C,C,C,C,C,C,FS,C,C,C,C,C,C,T,C,CD,T,T,C,—,—,—
I,128,Tauros,C,C,R,C,C,C,C,Ev,Ev,C,C,Ev,T,S,C,C,C,C,C,DW,DW,DW,DW,C,C,T,T,C,C,C,C,C,C,CD,CD,C,C,—,T,T
I,128,Tauros (Paldean Combat Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C
I,128,Tauros (Paldean Blaze Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,CC
I,128,Tauros (Paldean Aqua Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,CC,C
I,129,Magikarp,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,R,R,R,R,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
I,130,Gyarados,E,E,E,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,E,E,E,E,C,C,C,C,C,C,E,E,C,C,C,C,C,C,C,C,C
I,131,Lapras,R,R,R,R,C,C,C,T,T,C,C,T,T,S,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,C,C,C,C,C,—,—,—
I,132,Ditto,C,C,C,C,C,C,C,T,T,C,C,C,T,T,C,C,S,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—,C,C
I,133,Eevee,R,R,R,R,R,R,R,T,T,R,R,T,T,R,C,C,C,R,R,DW,DW,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
I,134,Vaporeon,E,E,E,E,E,E,E,T,T,E,E,T,T,E,E,E,E,E,E,DWE,DWE,E,E,E,E,E,E,E,E,E,E,E,E,C,C,E,E,C,C,C
I,135,Jolteon,E,E,E,E,E,E,E,T,T,E,E,T,T,E,E,E,E,E,E,DWE,DWE,E,E,E,E,E,E,E,E,E,E,E,E,C,C,E,E,C,C,C
I,136,Flareon,E,E,E,E,E,E,E,T,T,E,E,T,T,E,E,E,E,E,E,DWE,DWE,E,E,E,E,E,E,E,E,E,E,E,E,C,C,E,E,C,C,C
I,137,Porygon,R,R,R,R,R,R,R,T,T,R,R,T,T,T,S,S,R,R,R,Ev,C,DR,DR,T,T,C,C,R,R,R,R,C,C,RD,RD,S,S,C,—,—
I,138,Omanyte,R,R,R,R,Ev,Ev,Ev,T,T,R,R,T,T,T,R,R,R,R,T,R,R,R,R,T,R,T,R,T,T,R,R,R,R,CD,T,R,R,—,—,—
I,139,Omastar,E,E,E,E,EvE,EvE,EvE,T,T,E,E,T,T,T,E,E,E,E,T,E,E,E,E,T,E,T,E,T,T,E,E,E,E,CD,T,E,E,—,—,—
I,140,Kabuto,R,R,R,R,Ev,Ev,Ev,T,T,R,R,T,T,T,R,R,R,T,R,R,R,R,R,T,R,R,T,T,T,R,R,R,R,T,CD,R,R,—,—,—
I,141,Kabutops,E,E,E,E,EvE,EvE,EvE,T,T,E,E,T,T,T,E,E,E,T,E,E,E,E,E,T,E,E,T,T,T,E,E,E,E,T,CD,E,E,—,—,—
I,142,Aerodactyl,R,R,R,R,R,R,R,T,T,R,R,T,T,T,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,CD,CD,R,R,—,—,—
I,143,Snorlax,C,C,C,C,C,C,C,T,T,C,C,T,T,S,E,E,E,C,C,E,E,R,R,C,C,T,T,C,C,C,C,C,C,C,C,E,E,C,CD,CD
I,144,Articuno,C,C,C,C,Ev,Ev,Ev,Ev,Ev,C,C,Ev,T,S,T,T,C,C,C,T,T,T,T,C,C,Ev,Ev,T,T,C,C,C,C,DA,DA,T,C,—,T,T
I,144,Articuno (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,CD,CD,—,—,—,T,T
I,145,Zapdos,C,C,C,C,Ev,Ev,Ev,Ev,Ev,C,C,Ev,T,S,T,T,C,C,C,T,T,T,T,C,C,Ev,Ev,T,T,C,C,C,C,DA,DA,T,C,—,T,T
I,145,Zapdos (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,CD,CD,—,—,—,T,T
I,146,Moltres,C,C,C,C,Ev,Ev,Ev,Ev,Ev,C,C,Ev,T,S,T,T,C,C,C,T,T,T,T,C,C,Ev,Ev,T,T,C,C,C,C,DA,DA,T,C,—,T,T
I,146,Moltres (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,CD,CD,—,—,—,T,T
I,147,Dratini,C,C,C,C,C,C,C,EvB,EvB,C,C,EvB,T,T,C,C,C,C,C,C,C,C,C,C,C,EvB,EvB,C,C,C,C,C,C,CD,CD,C,C,—,C,C
I,148,Dragonair,E,E,R,C,C,C,C,EvB,EvB,C,C,EvB,T,T,C,C,C,C,C,C,C,C,C,C,C,EvB,EvB,C,C,C,C,C,C,CD,CD,E,E,—,C,C
I,149,Dragonite,E,E,E,E,E,E,E,Ev,Ev,E,E,Ev,T,S,E,E,E,E,E,C,C,C,C,E,E,Ev,Ev,C,C,C,C,C,C,CD,CD,E,E,—,C,C
I,150,Mewtwo,C,C,C,C,Ev,Ev,Ev,T,T,C,C,T,T,T,T,T,T,C,C,Ev,Ev,Ev,Ev,C,C,Ev,Ev,T,T,C,C,C,C,DA,DA,C,C,—,Ev,Ev
I,151,Mew,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,Ev,EV,T,T,Ev,Ev,Ev,Ev,Ev,T,T,T,T,Ev,Ev,Ev,Ev,Ev,Ev,T,T,Ev,Ev,Ev,Ev,CCR,CCR,—,Ev,Ev
II,152,Chikorita,—,—,—,—,R,R,R,Ev,Ev,Ev,Ev,CCR,T,R,T,T,T,R,R,T,T,T,T,Ev,Ev,R,R,S,S,T,T,—,—,—,—,C,C,—,—,—
II,153,Bayleef,—,—,—,—,E,E,E,EvE,EvE,EvE,EvE,CCE,S,E,T,T,T,E,E,T,T,T,T,EvE,EvE,E,E,E,E,T,T,—,—,—,—,E,E,—,—,—
II,154,Meganium,—,—,—,—,E,E,E,EvE,EvE,EvE,EvE,CCE,E,E,T,T,T,E,E,T,T,T,T,Ev,Ev,E,E,E,E,T,T,—,—,—,—,E,E,—,—,—
II,155,Cyndaquil,—,—,—,—,R,R,R,Ev,Ev,Ev,Ev,CCR,T,R,T,T,T,R,R,T,T,T,T,Ev,Ev,R,R,S,S,T,T,—,—,—,—,C,C,C,EvB,EvB
II,156,Quilava,—,—,—,—,E,E,E,EvE,EvE,EvE,EvE,CCE,S,E,T,T,T,E,E,T,T,T,T,EvE,EvE,E,E,E,E,T,T,—,—,—,—,E,E,C,EvB,EvB
II,157,Typhlosion,—,—,—,—,E,E,E,Ev,Ev,Ev,Ev,CCE,E,E,T,T,T,E,E,T,T,T,T,Ev,Ev,E,E,E,E,T,T,—,—,—,—,E,E,—,Ev,Ev
II,157,Typhlosion (Hisuian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,T
II,158,Totodile,—,—,—,—,R,R,R,Ev,Ev,Ev,Ev,CCR,T,R,T,T,T,R,R,T,T,T,T,Ev,Ev,R,R,S,S,T,T,—,—,—,—,C,C,—,—,—
II,159,Croconaw,—,—,—,—,E,E,E,EvE,EvE,EvE,EvE,CCE,S,E,T,T,T,E,E,T,T,T,T,EvE,EvE,E,E,E,E,T,T,—,—,—,—,E,E,—,—,—
II,160,Feraligatr,—,—,—,—,E,E,E,EvE,EvE,EvE,EvE,CCE,E,E,T,T,T,E,E,T,T,T,T,Ev,Ev,E,E,E,E,T,T,—,—,—,—,E,E,—,—,—
II,161,Sentret,—,—,—,—,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,S,S,B,B,C,C,T,T,T,T,T,T,—,—,—,—,C,C,—,CD,CD
II,162,Furret,—,—,—,—,C,C,C,T,T,E,E,T,S,T,E,E,E,C,C,E,E,S,S,E,E,T,T,T,T,T,T,—,—,—,—,C,C,—,CD,CD
II,163,Hoothoot,—,—,—,—,C,C,C,Ev,Ev,Ev,Ev,C,T,T,C,C,C,C,C,B,B,CCB,CCB,B,B,T,T,T,T,C,C,—,—,C,C,C,C,—,CD,CD
II,164,Noctowl,—,—,—,—,C,C,C,EvE,EvE,EvE,EvE,E,S,T,C,C,C,C,C,C,C,CC,CC,C,C,T,T,T,T,C,C,—,—,C,C,C,C,—,CD,CD
II,165,Ledyba,—,—,—,—,Ev,C,C,T,T,C,C,C,T,S,B,B,B,T,C,B,B,DW,B,C,C,T,T,C,C,C,C,—,—,—,—,B,B,—,—,—
II,166,Ledian,—,—,—,—,EvE,C,C,T,T,E,E,E,S,E,C,C,C,T,C,C,C,DWE,S,E,E,T,T,C,C,C,C,—,—,—,—,C,C,—,—,—
II,167,Spinarak,—,—,—,—,C,Ev,C,T,T,C,C,C,T,S,B,B,B,C,T,B,B,B,DW,B,B,B,B,C,C,C,C,—,—,—,—,B,B,—,CD,CD
II,168,Ariados,—,—,—,—,C,EvE,C,T,T,E,E,E,S,E,C,C,C,C,T,C,C,S,DWE,C,C,C,C,C,C,C,C,—,—,—,—,C,C,—,CD,CD
II,169,Crobat,—,—,—,—,E,E,E,E,E,E,E,E,T,E,E,E,E,E,E,C,C,C,C,E,E,E,E,C,C,C,C,—,—,DD,DD,E,E,C,—,—
II,170,Chinchou,—,—,—,—,C,C,C,C,C,T,T,C,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—,—,C,C,C,C,—,—,—
II,171,Lanturn,—,—,—,—,C,C,C,E,E,T,T,E,T,T,C,C,E,C,C,C,C,C,C,C,C,C,C,E,E,C,C,—,—,C,C,C,C,—,—,—
II,172,Pichu,—,—,—,—,B,B,R,B,B,B,B,B,T,T,C,C,C,B,B,EvB,EvB,EvB,EvB,B,B,B,B,C,C,C,C,—,—,D,D,C,C,C,C,C
II,173,Cleffa,—,—,—,—,B,B,R,T,T,B,B,T,T,T,C,C,C,B,B,B,B,B,B,FSB,FSB,B,B,C,C,C,C,—,—,D,D,C,C,C,CD,CD
II,174,Igglybuff,—,—,—,—,B,B,R,B,B,B,B,B,T,T,S,S,S,B,B,B,B,B,B,B,B,B,B,C,C,C,C,—,—,DD,DD,S,S,—,C,C
II,175,Togepi,—,—,—,—,R,R,R,T,T,R,R,T,T,R,C,C,C,R,R,DW,C,R,R,FS,FS,R,R,B,B,T,T,—,—,C,C,C,C,C,—,—
II,176,Togetic,—,—,—,—,E,E,E,T,T,E,E,T,S,E,E,E,E,E,E,DWE,E,E,E,FSE,FSE,E,E,B,B,T,T,—,—,C,C,E,E,C,—,—
II,177,Natu,—,—,—,—,C,C,C,C,C,C,C,C,T,S,S,S,S,C,C,DW,DW,S,S,FSB,FSB,B,B,T,T,C,C,—,—,C,C,C,C,—,—,—
II,178,Xatu,—,—,—,—,E,E,R,C,C,E,E,C,T,E,E,E,E,R,R,DWE,DWE,E,E,FS,FS,C,C,T,T,C,C,—,—,C,C,E,E,—,—,—
II,179,Mareep,—,—,—,—,C,C,T,Ev,Ev,Ev,Ev,C,T,S,C,C,C,C,C,DW,C,C,C,C,C,Ev,Ev,T,T,C,C,—,—,—,—,C,C,—,C,C
II,180,Flaaffy,—,—,—,—,C,C,T,EvE,EvE,EvE,EvE,E,S,E,C,C,C,C,C,DW,E,E,E,E,E,EvE,EvE,T,T,C,C,—,—,—,—,C,C,—,C,C
II,181,Ampharos,—,—,—,—,E,E,T,EvE,EvE,EvE,EvE,E,E,E,E,E,E,E,E,DWE,E,E,E,E,E,EvE,EvE,T,T,E,E,—,—,—,—,E,E,—,C,C
II,182,Bellossom,—,—,—,—,E,E,E,E,E,E,EvE,E,T,T,E,E,E,E,E,DWE,E,DWE,DWE,E,E,E,E,T,T,T,T,—,—,C,C,E,E,—,—,—
II,183,Marill,—,—,—,—,C,C,C,C,C,T,C,C,T,T,C,C,C,C,C,DW,E,C,C,C,C,C,C,S,S,T,T,—,—,CD,CD,C,C,—,C,C
II,184,Azumarill,—,—,—,—,E,E,E,E,E,T,E,E,T,T,E,E,C,E,E,DWE,E,C,C,C,C,C,C,E,E,T,T,—,—,CD,CD,E,E,—,C,C
II,185,Sudowoodo,—,—,—,—,C,C,C,T,T,T,T,C,S,T,E,C,C,C,C,DW,DW,S,DW,C,C,T,T,C,C,C,C,—,—,C,C,E,C,C,C,C
II,186,Politoed,—,—,—,—,ET,ET,ET,T,T,ET,ET,T,T,T,ET,ET,ET,ET,ET,C,C,C,C,C,C,T,T,C,C,C,C,—,—,CD,CD,ET,ET,—,CD,CD
II,187,Hoppip,—,—,—,—,C,C,C,T,T,C,C,T,T,C,C,C,C,C,C,DW,C,S,S,C,C,T,T,T,T,T,T,—,—,—,—,C,C,—,C,C
II,188,Skiploom,—,—,—,—,C,C,C,T,T,E,E,T,S,E,C,C,E,C,C,DWE,E,E,E,E,E,T,T,T,T,T,T,—,—,—,—,C,C,—,C,C
II,189,Jumpluff,—,—,—,—,E,E,E,T,T,E,E,T,E,E,E,E,E,C,C,DWE,E,E,E,E,E,T,T,T,T,T,T,—,—,—,—,E,E,—,C,C
II,190,Aipom,—,—,—,—,C,C,C,Ev,Ev,Ev,Ev,C,S,T,C,C,C,C,C,DW,DW,B,B,FS,FS,C,C,T,T,C,C,—,—,—,—,C,C,C,CCD,CD
II,191,Sunkern,—,—,—,—,C,C,C,Ev,Ev,Ev,Ev,C,T,T,C,C,C,C,C,C,C,C,C,FS,FS,C,C,T,T,T,T,—,—,—,—,C,C,—,C,C
II,192,Sunflora,—,—,—,—,E,E,E,EvE,EvE,EvE,EvE,E,S,T,E,E,E,E,E,C,C,E,E,FSE,FSE,E,E,T,T,T,T,—,—,—,—,E,E,—,C,C
II,193,Yanma,—,—,—,—,C,C,C,T,T,C,C,T,S,T,S,S,C,C,C,S,S,C,C,C,C,T,T,T,T,B,B,—,—,—,—,S,S,C,CD,CD
II,194,Wooper,—,—,—,—,C,C,C,T,T,C,T,C,T,C,C,C,C,C,C,DW,C,B,B,B,B,T,T,T,T,B,B,—,—,C,C,C,C,—,CD,CD
II,194,Wooper (Paldean Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C
II,195,Quagsire,—,—,—,—,C,C,C,T,T,E,T,C,S,E,C,C,C,C,C,DWE,E,S,S,C,C,T,T,T,T,C,C,—,—,C,C,C,C,—,CD,CD
II,196,Espeon,—,—,—,—,E,E,E,Ev,Ev,Ev,Ev,Ev,R,E,E,E,E,E,E,DWE,DWE,E,E,E,E,E,E,C,C,C,C,—,—,C,C,E,E,C,C,C
II,197,Umbreon,—,—,—,—,E,E,E,Ev,Ev,Ev,Ev,Ev,R,E,E,E,E,E,E,DWE,DWE,E,E,E,E,E,E,C,C,C,C,—,—,C,C,E,E,C,C,C
II,198,Murkrow,—,—,—,—,C,C,C,Ev,Ev,C,Ev,Ev,S,T,C,T,T,C,C,C,DW,C,C,C,C,C,C,C,C,C,C,—,—,—,—,C,T,C,C,C
II,199,Slowking,—,—,—,—,ET,ET,ET,EvE,EvE,EvE,ET,EvE,T,T,T,ET,ET,ET,ET,C,C,ET,ET,ET,ET,ET,ET,ET,ET,C,C,—,—,DA,DA,T,ET,—,C,C
II,199,Slowking (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,ED,ED,—,—,—,T,T
II,200,Misdreavus,—,—,—,—,C,C,C,Ev,Ev,Ev,C,Ev,S,T,T,C,T,C,C,DW,C,DW,DW,T,T,C,C,C,C,C,C,—,—,—,—,T,C,C,CC,C
II,201,Unown,—,—,—,—,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,T,T,T,T,T,T,C,C,T,T,T,T,—,—,—,—,C,C,C,—,—
II,202,Wobbuffet,—,—,—,—,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,E,E,R,R,C,C,C,C,T,T,T,T,—,—,C,C,C,C,—,—,—
II,203,Girafarig,—,—,—,—,C,C,T,C,C,T,T,C,T,T,C,C,C,C,C,DW,DW,CC,CC,FS,FS,C,C,T,T,T,T,—,—,—,—,C,C,—,C,C
II,204,Pineco,—,—,—,—,C,C,C,Ev,Ev,Ev,Ev,C,T,S,D,D,D,C,C,S,S,S,S,FSB,FSB,B,B,T,T,C,C,—,—,—,—,C,C,—,C,C
II,205,Forretress,—,—,—,—,E,E,E,EvE,EvE,EvE,EvE,E,S,E,DE,DE,DE,E,E,E,E,E,E,FS,FS,C,C,T,T,E,E,—,—,—,—,E,E,—,C,C
II,206,Dunsparce,—,—,—,—,C,C,C,T,T,C,C,T,S,T,S,S,S,C,C,C,C,C,C,C,C,T,T,T,T,C,C,—,—,CD,CD,S,S,—,C,C
II,207,Gligar,—,—,—,—,C,Ev,C,Ev,Ev,Ev,Ev,C,S,C,D,D,C,C,T,C,C,C,C,C,C,T,T,T,T,T,T,—,—,—,—,C,T,C,CD,CCD
II,208,Steelix,—,—,—,—,ET,ET,ET,T,T,ET,ET,T,T,T,C,C,C,C,C,ET,ET,C,C,R,R,ET,ET,T,T,ET,ET,—,—,C,C,C,C,C,—,—
II,209,Snubbull,—,—,—,—,C,C,C,Ev,Ev,Ev,Ev,C,T,T,S,S,S,C,C,DW,DW,B,B,C,C,T,T,B,B,C,C,—,—,—,—,C,C,—,—,—
II,210,Granbull,—,—,—,—,E,E,C,EvE,EvE,EvE,EvE,E,S,T,E,E,E,E,E,DWE,DWE,C,C,E,E,T,T,C,C,C,C,—,—,—,—,E,E,—,—,—
II,211,Qwilfish,—,—,—,—,C,C,C,Ev,Ev,C,Ev,Ev,S,T,C,C,C,C,C,C,C,C,C,C,C,T,T,T,T,T,T,—,—,C,C,C,C,—,C,C
II,211,Qwilfish (Hisuian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,T
II,212,Scizor,—,—,—,—,ET,ET,ET,EvE,EvE,ET,EvE,EvE,T,ET,ET,Ev,ET,ET,ET,DWET,DWET,DWET,DWET,ET,ET,T,T,ET,ET,ET,ET,—,—,CD,CD,ET,T,C,T,T
II,213,Shuckle,—,—,—,—,C,C,C,Ev,Ev,Ev,Ev,C,S,R,D,D,D,C,C,C,C,C,C,C,C,T,T,T,T,T,T,—,—,C,C,C,C,—,—,—
II,214,Heracross,—,—,—,—,C,C,C,C,C,C,C,C,S,T,C,C,C,C,C,C,C,C,C,FS,C,C,C,T,T,C,C,—,—,T,CD,C,C,C,C,C
II,215,Sneasel,—,—,—,—,C,C,C,Ev,Ev,Ev,C,Ev,S,T,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,—,—,C,C,C,C,C,C,C
II,215,Sneasel (Hisuian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,T
II,216,Teddiursa,—,—,—,—,C,Ev,C,Ev,Ev,Ev,Ev,C,T,S,D,D,D,T,C,DW,DW,R,R,B,B,T,T,T,T,T,T,—,—,—,—,T,C,C,C,C
II,217,Ursaring,—,—,—,—,C,EvE,C,EvE,EvE,EvE,EvE,E,S,E,D,D,D,T,C,DWE,DWE,E,E,C,C,T,T,T,T,T,T,—,—,—,—,T,E,C,C,C
II,218,Slugma,—,—,—,—,C,C,C,C,C,C,C,C,S,T,C,C,C,C,C,DW,DW,DW,DW,C,C,C,C,T,T,B,B,—,—,—,—,C,C,—,CD,CD
II,219,Magcargo,—,—,—,—,E,E,E,E,E,C,C,E,E,S,C,C,C,E,E,DWE,DWE,DWE,DWE,E,E,E,E,T,T,C,C,—,—,—,—,C,C,—,CD,CD
II,220,Swinub,—,—,—,—,C,C,C,T,T,C,C,T,T,S,S,S,C,C,C,B,B,B,B,B,B,T,T,S,S,S,S,—,—,C,C,C,C,C,CD,CD
II,221,Piloswine,—,—,—,—,E,E,E,T,T,E,E,T,S,E,E,E,C,E,E,C,C,C,C,C,C,T,T,E,E,E,E,—,—,C,C,E,E,C,CD,CD
II,222,Corsola,—,—,—,—,C,C,C,C,C,Ev,Ev,C,T,T,S,S,S,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—,—,T,RD,C,C,—,—,—
II,222,Corsola (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,—,—,—,—,—
II,223,Remoraid,—,—,—,—,C,C,Ev,T,T,T,C,C,S,T,C,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,—,—,C,C,C,C,C,—,—
II,224,Octillery,—,—,—,—,E,E,EvE,T,T,T,E,E,E,T,C,C,C,E,E,C,C,C,C,C,C,C,C,T,T,C,C,—,—,C,C,C,C,C,—,—
II,225,Delibird,—,—,—,—,Ev,C,C,Ev,Ev,C,Ev,Ev,S,T,S,S,S,T,C,C,C,C,C,C,C,C,C,C,C,C,C,—,—,C,C,C,C,—,C,C
II,226,Mantine,—,—,—,—,C,Ev,C,Ev,Ev,Ev,C,Ev,S,T,E,E,E,C,T,C,C,C,C,E,E,C,C,T,T,E,E,—,—,C,C,E,E,C,—,—
II,227,Skarmory,—,—,—,—,Ev,C,C,C,C,C,T,C,S,T,C,C,C,T,C,DW,DW,C,C,C,C,C,C,C,C,C,C,—,—,CD,CD,C,C,—,—,—
II,228,Houndour,—,—,—,—,C,C,C,Ev,Ev,Ev,Ev,C,T,S,T,B,C,C,C,S,DW,DW,DW,C,EvB,T,T,T,T,C,T,—,—,—,—,B,B,—,C,C
II,229,Houndoom,—,—,—,—,E,E,E,EvE,EvE,EvE,EvE,E,S,E,T,C,E,C,C,E,DWE,DWE,DWE,E,Ev,T,T,T,T,C,T,—,—,—,—,C,C,—,C,C
II,230,Kingdra,—,—,—,—,ET,ET,ET,ET,ET,ET,ET,ET,T,T,ET,ET,ET,ET,ET,C,C,C,C,ET,ET,ET,ET,ET,ET,ET,ET,—,—,CD,CD,ET,ET,—,—,—
II,231,Phanpy,—,—,—,—,Ev,C,C,C,C,C,C,C,T,C,S,S,S,C,T,DW,DW,R,R,FS,FS,B,B,T,T,T,T,—,—,—,—,C,C,—,C,C
II,232,Donphan,—,—,—,—,EvE,C,C,E,E,E,E,E,T,E,E,E,E,C,T,DWE,DWE,E,E,FSE,FSE,C,C,T,T,T,T,—,—,—,—,E,E,—,C,C
II,233,Porygon2,—,—,—,—,ET,ET,ET,T,T,ET,ET,T,T,T,ET,ET,ET,ET,ET,EvE,ET,DRET,DRET,T,T,ET,ET,ET,ET,ET,ET,—,—,EDT,EDT,ET,ET,C,—,—
II,234,Stantler,—,—,—,—,C,C,C,Ev,Ev,Ev,Ev,C,S,T,T,C,C,C,C,C,C,DW,DW,T,T,C,C,T,T,T,T,—,—,—,—,T,C,C,C,C
